id,name,account_id,project_id,environment_id,created_at,updated_at,layer,source,modulo,subject_area,model,execute_steps,settings
669904,AGOS_L1_O_SRV_OACMFUTCA [[AGOS_L1_O_SRV_OACMFUTCA]],702,12990,58598,2026-06-09 14:16:09.436514+00:00,2026-07-24 12:56:48.608625+00:00,L1,OCS,XSR,,OACMFUTCA,"[""dbt build --select +oacmfutca""]","{""threads"": 2, ""target_name"": ""default""}"
669905,AGOS_L2_ASSICURAZIONI_SERVIZI_ASSICURATIVI [[AGOS_L2_ASSICURAZIONI_SERVIZI_ASSICURATIVI]],702,12990,58598,2026-06-09 14:16:09.667039+00:00,2026-06-30 09:41:55.754622+00:00,L2,,,ASSICURAZIONI,SERVIZI_ASSICURATIVI,"[""dbt build --select servizi_assicurativi""]","{""threads"": 2, ""target_name"": ""default""}"
669906,AGOS_L1_O_CQS_CQSIFPREV [[AGOS_L1_O_CQS_CQSIFPREV]],702,12990,58598,2026-06-09 14:16:09.871205+00:00,2026-06-30 09:34:23.469547+00:00,L1,OCS,CQS,,CQSIFPREV,"[""dbt build --select +cqsifprev""]","{""threads"": 2, ""target_name"": ""default""}"
669907,AGOS_L1_E_FEA_TBLQUESTIONARICONTRAENTI [[AGOS_L1_E_FEA_TBLQUESTIONARICONTRAENTI]],702,12990,58598,2026-06-09 14:16:10.046324+00:00,2026-06-30 09:43:12.920663+00:00,L1,FEA,,,TBLQUESTIONARICONTRAENTI,"[""dbt build --select +tblquestionaricontraenti""]","{""threads"": 2, ""target_name"": ""default""}"
669908,AGOS_L1_O_CQS_CQPSFDACC [[AGOS_L1_O_CQS_CQPSFDACC]],702,12990,58598,2026-06-09 14:16:10.573595+00:00,2026-06-30 09:39:18.789555+00:00,L1,OCS,CQS,,CQPSFDACC,"[""dbt build --select +cqpsfdacc""]","{""threads"": 2, ""target_name"": ""default""}"
669909,AGOS_L1_O_INC_CCCASTEL [[AGOS_L1_O_INC_CCCASTEL]],702,12990,58598,2026-06-09 14:16:10.770433+00:00,2026-07-24 12:57:43.371562+00:00,L1,OCS,XIC,,CCCASTEL,"[""dbt build --select +cccastel""]","{""threads"": 2, ""target_name"": ""default""}"
669910,AGOS_L1_O_AIN_AITBFATT [[AGOS_L1_O_AIN_AITBFATT]],702,12990,58598,2026-06-09 14:16:10.981010+00:00,2026-06-30 09:35:34.956659+00:00,L1,OCS,AIN,,AITBFATT,"[""dbt build --select +aitbfatt""]","{""threads"": 2, ""target_name"": ""default""}"
669911,AGOS_L1_O_ANA_CCANALOR [[AGOS_L1_O_ANA_CCANALOR]],702,12990,58598,2026-06-09 14:16:11.220276+00:00,2026-06-30 09:40:32.228928+00:00,L1,OCS,ANA,,CCANALOR,"[""dbt build --select +ccanalor""]","{""threads"": 2, ""target_name"": ""default""}"
669912,AGOS_L2_ASSICURAZIONI_SERVIZI_ASSICURATIVI_M [[AGOS_L2_ASSICURAZIONI_SERVIZI_ASSICURATIVI_M]],702,12990,58598,2026-06-09 14:16:11.529932+00:00,2026-06-30 09:40:58.515465+00:00,L2,,,ASSICURAZIONI,SERVIZI_ASSICURATIVI_M,"[""dbt build --select servizi_assicurativi_m""]","{""threads"": 2, ""target_name"": ""default""}"
669913,AGOS_L2_RISCHI_ADEMPIMENTI_FORBEARANCE_M [[AGOS_L2_RISCHI_ADEMPIMENTI_FORBEARANCE_M]],702,12990,58598,2026-06-09 14:16:11.819560+00:00,2026-06-30 09:42:20.436694+00:00,L2,,,RISCHI_ADEMPIMENTI,FORBEARANCE_M,"[""dbt build --select forbearance_m""]","{""threads"": 2, ""target_name"": ""default""}"
669914,AGOS_L1_O_PRV_CCRAMTTG [[AGOS_L1_O_PRV_CCRAMTTG]],702,12990,58598,2026-06-09 14:16:12.065161+00:00,2026-06-30 09:43:03.965565+00:00,L1,OCS,PRV,,CCRAMTTG,"[""dbt build --select +ccramttg""]","{""threads"": 2, ""target_name"": ""default""}"
669915,AGOS_L1_O_CON_PLCHICES [[AGOS_L1_O_CON_PLCHICES]],702,12990,58598,2026-06-09 14:16:12.296675+00:00,2026-07-24 12:58:41.347813+00:00,L1,OCS,XCO,,PLCHICES,"[""dbt build --select +plchices""]","{""threads"": 2, ""target_name"": ""default""}"
669916,AGOS_L1_O_ANA_CCAMMXMS [[AGOS_L1_O_ANA_CCAMMXMS]],702,12990,58598,2026-06-09 14:16:12.517626+00:00,2026-06-30 09:33:30.728438+00:00,L1,OCS,ANA,,CCAMMXMS,"[""dbt build --select +ccammxms""]","{""threads"": 2, ""target_name"": ""default""}"
